X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.823735705,0.054719127,-0.001180257,2.716413119,5.052652994,2.906871987,-4.945533112
2.300805735,0.044585647,-0.000961685,2.372347037,-4.955715461,2.18188817,5.042470645
1.777872385,0.0344521,-0.00074311,1.837820605,-4.965897838,1.647361737,5.032288269
1.2549649,0.024319055,-0.000524547,1.303322678,-4.976079672,1.112863811,5.022106435
0.732098392,0.014186804,-0.000306001,0.768867524,-4.986260691,0.578408656,5.011925416
0.209271586,0.004055322,-8.74708E-05,0.226705569,-4.995755778,0.051708885,5.002712913
-0.313631264,-0.001837683,0,-0.362771815,-4.999894123,-0.427849057,4.999894123
-0.836586097,-0.004901872,0,-0.929904949,-5,-0.929904949,5
-1.359554756,-0.007966141,0,-1.46456202,-5,-1.46456202,5
-1.882594636,-0.011030828,0,-1.999327507,-5,-1.999327507,5
-2.405754654,-0.014096219,0,-2.534231728,-5,-2.534231728,5
-2.929062147,-0.017162474,0,-3.069289823,-5,-3.069289823,5
-3.452525812,-0.020229643,0,-3.604505044,-5,-3.604505044,5
-3.976142641,-0.023297711,0,-4.139873602,-5,-4.139873602,5
-4.499905094,-0.026366631,0,-4.675389623,-5,-4.675389623,5
-5.023806091,-0.029436364,0,-5.211048264,-5,-5.211048264,5
-5.547841038,-0.032506881,0,-5.746846661,-5,-5.746846661,5
-6.072007836,-0.035578171,0,-6.282783448,-5,-6.282783448,5
-6.596305903,-0.03865023,0,-6.818857874,-5,-6.818857874,5
-7.120735186,-0.041723058,0,-7.355069303,-5,-7.355069303,5
-7.645295574,-0.044796654,0,-7.891417102,-5,-7.891417102,5
-8.169986688,-0.047871016,0,-8.427900626,-5,-8.427900626,5
-8.694807789,-0.050946139,0,-8.964519251,-5,-8.964519251,5
-9.219757913,-0.054022019,0,-9.50127239,-5,-9.50127239,5
-9.74483622,-0.05709865,0,-10.03815953,-5,-10.03815953,5
-10.27004213,-0.060176028,0,-10.57518025,-5,-10.57518025,5
-10.79537527,-0.063254152,0,-11.11233411,-5,-11.11233411,5
-11.32083543,-0.06633302,0,-11.64962062,-5,-11.64962062,5
-11.84642251,-0.069412632,0,-12.18703938,-5,-12.18703938,5
-12.37213646,-0.072492987,0,-12.72459023,-5,-12.72459023,5
-12.89797728,-0.075574086,0,-13.26227326,-5,-13.26227326,5
-13.42394491,-0.078655927,0,-13.80008868,-5,-13.80008868,5
-13.95003925,-0.081738511,0,-14.33803686,-5,-14.33803686,5
-14.47626034,-0.084821838,0,-14.87611823,-5,-14.87611823,5
-15.00260845,-0.087905909,0,-15.41433316,-5,-15.41433316,5
-15.52908402,-0.090990727,0,-15.95268192,-5,-15.95268192,5
-16.05568758,-0.094076294,0,-16.49116482,-5,-16.49116482,5
-16.58241975,-0.097162616,0,-17.0297824,-5,-17.0297824,5
-17.10928104,-0.100249694,0,-17.56853539,-5,-17.56853539,5
-17.63627186,-0.10333753,0,-18.10742465,-5,-18.10742465,5
-18.16339271,-0.106426129,0,-18.64645105,-5,-18.64645105,5
-18.69064426,-0.109515494,0,-19.18561538,-5,-19.18561538,5
-19.21802729,-0.112605629,0,-19.7249187,-5,-19.7249187,5
-19.74554266,-0.115696539,0,-20.26436383,-5,-20.26436383,5
-20.27319124,-0.11878823,0,-20.8039489,-5,-20.8039489,5
-20.80097386,-0.121880706,0,-21.34367473,-5,-21.34367473,5
-21.32889116,-0.124973972,0,-21.88354216,-5,-21.88354216,5
-21.85694359,-0.128068029,0,-22.42355199,-5,-22.42355199,5
-22.3851316,-0.13116288,0,-22.96370487,-5,-22.96370487,5
-22.91345568,-0.134258529,0,-23.50400117,-5,-23.50400117,5
-23.44191634,-0.137354979,0,-24.04444104,-5,-24.04444104,5
-23.97051405,-0.140452231,0,-24.58502453,-5,-24.58502453,5
-24.49924917,-0.143550288,0,-25.12575176,-5,-25.12575176,5
-25.02812192,-0.146649152,0,-25.66662288,-5,-25.66662288,5
-25.55713232,-0.149748822,0,-26.20763808,-5,-26.20763808,5
-26.08628023,-0.152849298,0,-26.74879754,-5,-26.74879754,5
-26.61556552,-0.155950579,0,-27.29010137,-5,-27.29010137,5
-27.14498821,-0.159052665,0,-27.83154953,-5,-27.83154953,5
-27.67454844,-0.162155557,0,-28.37314189,-5,-28.37314189,5
-28.20424639,-0.165259256,0,-28.91487836,-5,-28.91487836,5
-28.73408225,-0.168363763,0,-29.45675899,-5,-29.45675899,5
-29.26405616,-0.171469079,0,-29.99878389,-5,-29.99878389,5
-29.79416809,-0.174575204,0,-30.54095319,-5,-30.54095319,5
-30.32441785,-0.177682136,0,-31.08326701,-5,-31.08326701,5
-30.85480529,-0.180789875,0,-31.62572535,-5,-31.62572535,5
-31.38533035,-0.18389842,0,-32.16832804,-5,-32.16832804,5
-31.91599308,-0.187007772,0,-32.71107483,-5,-32.71107483,5
-32.44679359,-0.190117931,0,-33.25396558,-5,-33.25396558,5
-32.97773194,-0.193228898,0,-33.79700025,-5,-33.79700025,5
-33.5088082,-0.196340673,0,-34.34017887,-5,-34.34017887,5
-34.04002226,-0.199453255,0,-34.88350148,-5,-34.88350148,5
-34.57137384,-0.202566644,0,-35.42696802,-5,-35.42696802,5
-35.10286272,-0.205680836,0,-35.97057822,-5,-35.97057822,5
-35.63448878,-0.208795833,0,-36.5143318,-5,-36.5143318,5
-36.166252,-0.211911633,0,-37.05822861,-5,-37.05822861,5
-36.6981524,-0.215028237,0,-37.60226859,-5,-37.60226859,5
-37.23019001,-0.218145645,0,-38.14645175,-5,-38.14645175,5
-37.76236468,-0.221263856,0,-38.69077812,-5,-38.69077812,5
-38.29467614,-0.224382868,0,-39.23524775,-5,-39.23524775,5
-38.82712413,-0.22750268,0,-39.77986062,-5,-39.77986062,5
-39.35970852,-0.230623292,0,-40.32461659,-5,-40.32461659,5
-39.89242927,-0.233744703,0,-40.86951536,-5,-40.86951536,5
-40.42528642,-0.236866913,0,-41.41455663,-5,-41.41455663,5
-40.95827999,-0.239989922,0,-41.95974026,-5,-41.95974026,5
-41.49141001,-0.243113731,0,-42.50506621,-5,-42.50506621,5
-42.02467647,-0.246238339,0,-43.05053544,-5,-43.05053544,5
-42.55807921,-0.249363745,0,-43.59614929,-5,-43.59614929,5
-43.09161792,-0.252489949,0,-44.14190535,-5,-44.14190535,5
-43.62529232,-0.255616947,0,-44.68780332,-5,-44.68780332,5
-44.15910228,-0.25874474,0,-45.23384296,-5,-45.23384296,5
-44.69304779,-0.261873327,0,-45.78002416,-5,-45.78002416,5
-45.22712886,-0.265002708,0,-46.32634692,-5,-46.32634692,5
-45.76134551,-0.268132884,0,-46.8728113,-5,-46.8728113,5
-46.29569765,-0.271263853,0,-47.41941735,-5,-47.41941735,5
-46.83018502,-0.274395615,0,-47.96616508,-5,-47.96616508,5
-47.36480738,-0.277528168,0,-48.51305432,-5,-48.51305432,5
-47.89956464,-0.280661512,0,-49.06008479,-5,-49.06008479,5
-48.43445677,-0.283795645,0,-49.6072563,-5,-49.6072563,5
-48.96948384,-0.286930569,0,-50.15456876,-5,-50.15456876,5
-49.5046459,-0.290066285,0,-50.70202221,-5,-50.70202221,5
-50.03994301,-0.293202791,0,-51.24961672,-5,-51.24961672,5
-50.57537505,-0.296340088,0,-51.79735235,-5,-51.79735235,5
-51.11094175,-0.299478174,0,-52.34522908,-5,-52.34522908,5
