X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.843218529,-0.000565807,2.33883E-06,2.84421354,4.999434094,2.842223517,-5.000565708
2.504136129,-0.000498329,2.23466E-06,2.503141118,-5.00049823,2.50513114,4.999501572
-2.165052268,0.000210137,1.46536E-06,-2.165810929,-4.999789805,-2.164293608,5.00021008
-1.826001049,0.000177229,1.46536E-06,-1.825515756,5.000177206,-1.826486343,-4.999822747
-1.487000102,0.000144326,1.46536E-06,-1.486514809,5.000144303,-1.487485396,-4.99985565
-1.148044433,0.000111428,1.46536E-06,-1.14755914,5.000111404,-1.148529727,-4.999888549
-0.809118125,7.85319E-05,1.46536E-06,-0.808632831,5.000078508,-0.809603418,-4.999921445
-0.470207747,4.56377E-05,1.46536E-06,-0.469722454,5.000045614,-0.47069304,-4.999954339
-0.131308042,1.27446E-05,1.46536E-06,-0.130822749,5.000012721,-0.131793335,-4.999987232
-0.207580382,2.01475E-05,1.46536E-06,-0.208065676,-4.999979829,-0.207095089,5.000020124
-0.546463704,5.28964E-05,3.20307E-06,-0.546946892,-4.99994708,-0.545980515,5.000052873
-0.885416435,8.52734E-05,5.18983E-06,-0.885894038,-4.999914704,-0.884938833,5.000085251
-1.224574723,0.000117117,7.17779E-06,-1.225044175,-4.999882861,-1.224105272,5.000117095
-1.564032796,0.000148105,9.16751E-06,-1.564489227,-4.999851874,-1.563576365,5.000148084
-1.903823636,0.000178076,1.11592E-05,-1.904264659,-4.999821905,-1.903382613,5.000178057
-2.243938509,0.000206883,1.31527E-05,-2.244362005,-4.999793099,-2.243515013,5.000206865
-2.584345063,0.000234022,1.5148E-05,-2.584743685,-4.999765962,-2.583946442,5.000234006
-2.925006819,0.000259517,1.71448E-05,-2.925381017,-4.999740469,-2.92463262,5.000259503
-3.265899939,0.000283117,1.91429E-05,-3.266246084,-4.999716871,-3.265553793,5.000283105
-3.607018064,0.000304305,2.11424E-05,-3.607328627,-4.999695686,-3.606707501,5.000304295
-3.948366263,0.000323215,2.31432E-05,-3.948643261,-4.999676777,-3.948089266,5.000323207
-4.289952186,0.000339404,2.51454E-05,-4.290189155,-4.99966059,-4.289715216,5.000339399
-4.631780409,0.000352553,2.7149E-05,-4.63197274,-4.999647443,-4.631588077,5.000352549
-4.973851013,0.000362767,2.88445E-05,-4.97400031,-4.999637231,-4.973701716,5.000362765
-5.316160563,0.0003694,2.86317E-05,-5.316257446,-4.999630599,-5.31606368,5.000369399
-5.658703974,0.000372739,2.79356E-05,-5.658752718,-4.99962726,-5.658655229,5.000372739
-6.001476255,0.000373027,2.72391E-05,-6.001480447,-4.999626973,-6.001472064,5.000373027
-6.344473473,0.000369723,2.6542E-05,-6.344425315,-4.999630277,-6.34452163,5.000369723
