X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.824937425,0.004726859,-0.0001094,2.624099046,5.003530322,2.637535299,-4.996460651
-2.302658095,0.03871539,1.48418E-07,-2.257242457,-5.000722871,-2.265948999,4.999273339
-1.78116581,0.029947359,1.48418E-07,-1.719846793,4.999449103,-1.716642128,-5.000550383
-1.259699443,0.021179764,1.48418E-07,-1.176525632,4.99962322,-1.173320967,-5.000376267
-0.73827412,0.012412859,1.48418E-07,-0.633248311,4.999797322,-0.630043646,-5.000202165
-0.216888525,0.003646622,1.48418E-07,-0.233560906,4.999925463,-0.230354863,-5.000074023
-0.304466267,0.005119095,1.80779E-07,-0.453230979,-5.000143831,-0.45636312,4.999855679
-0.825801725,0.013884437,4.90326E-07,-0.996479437,-5.000308235,-0.999505743,4.999691307
-1.347151389,0.022649884,7.99881E-07,-1.539869362,-5.000455293,-1.542575626,4.999544341
-1.868573119,0.031416326,1.10948E-06,-2.083440055,-5.000575685,-2.085654784,4.99942407
-2.390116201,0.040184506,1.41915E-06,-2.627237052,-5.000660071,-2.628788648,4.999339808
-2.911808099,0.048954803,1.72891E-06,-3.171282443,-5.000699082,-3.171999172,4.999300892
-3.433657428,0.057727276,2.03876E-06,-3.715580295,-5.000683322,-3.715290283,4.999316674
-3.955661093,0.06650179,2.3487E-06,-4.260126915,-5.000603169,-4.258654344,4.999396723
-4.4778116,0.075278134,2.65873E-06,-4.804919726,-5.000448395,-4.802077907,4.999551201
-5.000102137,0.084056109,2.89879E-06,-5.349931226,-5.000211103,-5.345576273,4.999787949
-5.522528289,0.092835579,2.42073E-06,-5.89510267,-4.999889445,-5.889201457,5.000108814
-6.045087897,0.101616634,1.87525E-06,-6.440397493,-4.999485402,-6.432986815,5.000511852
-6.567779754,0.110399402,1.32963E-06,-6.985808899,-4.99900161,-6.976937704,5.000994455
-7.090603368,0.119184023,7.83867E-07,-7.53133648,-4.998440708,-7.521053751,5.001554005
-7.613558518,0.12797064,2.3797E-07,-8.076979833,-4.997805339,-8.065334582,5.002187881
-8.13664503,0.1367594,-3.08064E-07,-8.62273843,-4.997098148,-8.609779705,5.002893456
-8.659862643,0.145550446,-8.54235E-07,-9.168611661,-4.996321785,-9.15438854,5.003668101
-9.183211009,0.154343922,-1.40054E-06,-9.714601025,-4.995478647,-9.699157973,5.004509429
-9.706689756,0.163139971,-1.94699E-06,-10.26071178,-4.994570533,-10.24408242,5.00541564
-10.23029855,0.171938733,-2.271E-06,-10.80694065,-4.993599549,-10.78916394,5.006384651
