X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.825722255,-0.001055779,-7.74235E-06,2.725893734,4.998943548,2.722016739,-5.0010557
-2.310963861,0.045210657,-1.26065E-07,-2.292370162,-4.999687075,-2.2896407,5.000312552
-1.797282827,0.035161233,-1.26065E-07,-1.765831489,5.000241095,-1.767196559,-4.999758812
-1.28362797,0.02511232,-1.26065E-07,-1.241368498,5.000169502,-1.242733568,-4.999830405
-0.770014495,0.015064217,-1.26065E-07,-0.716948395,5.000097915,-0.718313465,-4.999901992
-0.256440945,0.005016895,-1.26065E-07,-0.254310392,5.000034761,-0.255675488,-4.999965146
-0.257101851,0.005029825,-1.29671E-07,-0.331769326,-4.999954928,-0.330426496,5.000044982
-0.770625625,0.015076209,-3.88671E-07,-0.856098913,-4.999885066,-0.85476651,5.000114845
-1.284164858,0.025122998,-6.47678E-07,-1.380423316,-4.999819095,-1.379165099,5.000180826
-1.797779237,0.035171428,-9.06724E-07,-1.90481364,-4.999759354,-1.903674376,5.000240582
-2.31151957,0.045222563,-1.16583E-06,-2.429318956,-4.999708188,-2.42834344,5.000291764
-2.825414023,0.055277021,-1.42502E-06,-2.953964717,-4.999667952,-2.953197787,5.000332018
-3.339471232,0.06533504,-1.68429E-06,-3.478757241,-4.999641008,-3.478243775,5.000358979
-3.853687757,0.075396622,-1.94364E-06,-4.003691724,-4.999629719,-4.003476638,5.000370278
-4.368055677,0.08546168,-2.20306E-06,-4.528759894,-4.999636456,-4.528888138,5.000363543
-4.88256781,0.095530144,-2.42454E-06,-5.053955828,-4.999663497,-5.054470643,5.000336489
-5.397219892,0.105601975,-2.059E-06,-5.579282963,-4.999712366,-5.580213134,5.000287591
-5.912010227,0.115677056,-1.4672E-06,-6.104753694,-4.999783124,-6.106100174,5.000216785
-6.426938309,0.125755222,-8.75235E-07,-6.630372903,-4.999875254,-6.632125619,5.000124592
-6.942003846,0.135836312,-2.83115E-07,-7.156140214,-4.999988224,-7.158288801,5.000011545
-7.457206625,0.145920164,3.09164E-07,-7.682055097,-5.000121499,-7.684589183,4.99987818
-7.972546434,0.156006617,9.016E-07,-8.208116934,-5.000274551,-8.211026257,4.999725026
-8.488022967,0.166095509,1.49419E-06,-8.734324092,-5.000446962,-8.737600508,4.999552501
-9.00363598,0.176186675,2.08694E-06,-9.260677019,-5.000638208,-9.264310379,4.999361132
-9.519385004,0.186279941,2.67985E-06,-9.787176759,-5.000847603,-9.791153813,4.999151606
-10.03526981,0.19637515,3.0821E-06,-10.31382055,-5.001074701,-10.31813268,4.998924369
-10.55129009,0.206472217,2.46032E-06,-10.84060451,-5.001319403,-10.84524966,4.998679518
-11.06744541,0.216571273,1.75482E-06,-11.3675249,-5.001581904,-11.37250664,4.998416855
-11.5837352,0.226672494,1.04914E-06,-11.89458037,-5.001862449,-11.89990318,4.998136135
-12.10015905,0.236776059,3.43279E-07,-12.42177047,-5.002161283,-12.42743884,4.997837111
-12.61671686,0.246882154,-3.62767E-07,-12.94909521,-5.002478652,-12.95511362,4.997519537
-13.13340877,0.256990969,-1.069E-06,-13.47655486,-5.002814802,-13.48292781,4.997183167
-13.65023504,0.267102698,-1.77541E-06,-14.00414987,-5.003169982,-14.01088185,4.996827752
-14.16719599,0.277217535,-2.48201E-06,-14.53188076,-5.003544437,-14.53897627,4.996453046
-14.68429198,0.287335677,-3.18879E-06,-15.05974809,-5.003938413,-15.06721158,4.996058802
-15.20152341,0.297457314,-3.33898E-06,-15.58775302,-5.004352093,-15.59558772,4.995644838
-15.7188908,0.307582494,-2.75033E-06,-16.11589582,-5.004785665,-16.12410512,4.995210965
-16.23639446,0.317711079,-2.14407E-06,-16.64417764,-5.005239233,-16.65276329,4.994757081
-16.75403433,0.327842909,-1.53764E-06,-17.17260057,-5.005712712,-17.18156073,4.994283273
-17.2718109,0.33797783,-9.31051E-07,-17.70116443,-5.006206095,-17.71049876,4.993789548
-17.7897245,0.34811568,-3.24302E-07,-18.22986959,-5.00671942,-18.23957862,4.993275867
-18.30777578,0.358256311,2.82607E-07,-18.75871703,-5.007252726,-18.76880126,4.99274219
-18.82596553,0.368399575,8.89679E-07,-19.28770772,-5.007806052,-19.29816768,4.992188478
-19.34429456,0.378545325,1.49691E-06,-19.81684262,-5.008379437,-19.82767884,4.991614691
-19.86276367,0.388693414,2.06558E-06,-20.34612263,-5.008972927,-20.35733571,4.991020786
-20.38137358,0.398843718,2.01508E-06,-20.87554831,-5.009586594,-20.88713941,4.990406688
-20.90012487,0.408996248,1.70962E-06,-21.40512011,-5.010220528,-21.41709072,4.989772308
-21.41901779,0.419151091,1.40407E-06,-21.93483829,-5.010874821,-21.94718994,4.989117551
-21.93805223,0.429308324,1.09844E-06,-22.46470313,-5.011549566,-22.47743734,4.988442326
-22.45722811,0.439468029,7.92722E-07,-22.99471374,-5.01224497,-23.00783423,4.987746422
-22.9765456,0.449630291,4.86924E-07,-23.52487028,-5.012961462,-23.53838492,4.987029406
-23.49600507,0.459795198,1.81042E-07,-24.05517852,-5.013698896,-24.0690842,4.986291435
-24.01560683,0.46996284,-1.24923E-07,-24.58563696,-5.014457167,-24.5999315,4.985532616
-24.53535126,0.480133309,-4.30972E-07,-25.116244,-5.015236365,-25.13092894,4.984752853
-25.05523863,0.490306691,-5.87654E-07,-25.64699989,-5.016036579,-25.66207668,4.983952055
-25.57526923,0.50048302,-1.57313E-07,-26.1779046,-5.016857894,-26.1933746,4.98313014
-26.09544304,0.510662192,3.13394E-07,-26.70895787,-5.01770039,-26.72482242,4.982287025
-26.6157598,0.520844077,7.84231E-07,-27.24015952,-5.018564152,-27.25641994,4.981422628
-27.13621929,0.531028543,1.2552E-06,-27.77150958,-5.01944926,-27.78816721,4.980536866
-27.65682151,0.541215462,1.72629E-06,-28.30300822,-5.020355798,-28.32006439,4.979629656
-28.17756659,0.55140471,2.19752E-06,-28.83465537,-5.021283876,-28.85211191,4.978700888
-28.69845476,0.561596163,2.66887E-06,-29.36645005,-5.022233714,-29.38431095,4.977750335
-29.21948625,0.571789698,3.14035E-06,-29.89839361,-5.023205463,-29.91666139,4.976777852
-29.74066127,0.581985191,3.61196E-06,-30.43048867,-5.024198985,-30.44916044,4.975783584
-30.26198038,0.592182512,3.74183E-06,-30.96273314,-5.02521436,-30.98181026,4.974767443
-30.78344285,0.602381621,3.58419E-06,-31.49512679,-5.026251673,-31.51461062,4.973729346
-31.30504892,0.612582566,3.42651E-06,-32.02766923,-5.027311007,-32.04756113,4.972669209
-31.82679823,0.62278538,3.26879E-06,-32.56036021,-5.028392447,-32.58066153,4.971586946
-32.3486905,0.632990102,3.11103E-06,-33.09319965,-5.029496076,-33.11391176,4.970482474
-32.87072565,0.64319677,2.95322E-06,-33.62618763,-5.030621981,-33.64731189,4.969355708
-33.39290373,0.653405429,2.79536E-06,-34.15932427,-5.031770245,-34.18086205,4.968206561
-33.91522488,0.663616123,2.63747E-06,-34.69260919,-5.032940988,-34.71456248,4.967034915
-34.43768928,0.673828899,2.47953E-06,-35.22604119,-5.034134474,-35.24841477,4.965840497
-34.96029704,0.6840438,2.33771E-06,-35.75962207,-5.035350797,-35.78241741,4.964623222
-35.48304831,0.694260863,2.34819E-06,-36.29335309,-5.036589832,-36.31656755,4.963383222
-36.0059434,0.704480089,2.38039E-06,-36.82723151,-5.037851661,-36.8508665,4.962120408
-36.52898164,0.714701457,2.41259E-06,-37.36125687,-5.03913637,-37.38531378,4.960834693
-37.05216289,0.724924959,2.44481E-06,-37.895429,-5.040444045,-37.91990924,4.959525991
-37.5754868,0.735150581,2.47703E-06,-38.42974796,-5.041774773,-38.45465294,4.958194214
-38.09895325,0.74537831,2.50926E-06,-38.9642139,-5.043128644,-38.98954501,4.956839273
-38.62256227,0.755608138,2.5415E-06,-39.49882695,-5.044505744,-39.52458559,4.955461081
-39.14631395,0.765840057,2.57375E-06,-40.0335872,-5.045906161,-40.05977479,4.954059549
-39.67020845,0.776074061,2.60601E-06,-40.56849203,-5.047330222,-40.59511455,4.95263434
-40.19424586,0.786310143,2.58969E-06,-41.10354434,-5.048778,-41.13060278,4.951185392
-40.71842621,0.796548307,2.51165E-06,-41.63874527,-5.050249405,-41.66623765,4.949712803
-41.24274939,0.806788571,2.43226E-06,-42.17409294,-5.051744475,-42.20201982,4.948216529
-41.76721422,0.817030919,2.35285E-06,-42.70958672,-5.053263293,-42.73794946,4.946696485
-42.29182035,0.827275381,2.27341E-06,-43.24522658,-5.054805944,-43.27402652,4.945152584
-42.81656753,0.837521973,2.19396E-06,-43.78101258,-5.056372514,-43.81025109,4.943584742
-43.34145578,0.847770715,2.11448E-06,-44.31694484,-5.057963088,-44.34662326,4.941992872
-43.86648522,0.858021633,2.03498E-06,-44.85302346,-5.059577753,-44.88314316,4.940376887
-44.39165605,0.868274752,1.95547E-06,-45.38924855,-5.061216589,-45.41981079,4.938736708
-44.91696841,0.878530094,1.88268E-06,-45.92561556,-5.062880072,-45.95662921,4.937071835
-45.44242242,0.888787682,1.8811E-06,-46.46213211,-5.064567971,-46.4935922,4.935382542
-45.96801814,0.899047517,1.89564E-06,-46.99879572,-5.066280214,-47.03070079,4.93366889
-46.49375557,0.909309594,1.91019E-06,-47.53560508,-5.068016839,-47.5679557,4.931930832
-47.01963395,0.919573884,1.92474E-06,-48.07256015,-5.069777897,-48.105357,4.930168321
-47.54565313,0.929840391,1.9393E-06,-48.60966104,-5.071563438,-48.6429048,4.928381305
-48.07181298,0.940109108,1.95386E-06,-49.14690788,-5.07337351,-49.18059923,4.926569735
-48.59811355,0.95038003,1.96842E-06,-49.6843008,-5.075208163,-49.71844041,4.924733561
-49.12455495,0.960653157,1.98299E-06,-50.22183994,-5.077067445,-50.25642841,4.922872737
-49.65113731,0.970928486,1.99757E-06,-50.7595204,-5.078952124,-50.79457212,4.920986444
-50.17786077,0.981206014,2.10156E-06,-51.29735472,-5.080861544,-51.33285641,4.919075437
-50.70472543,0.991485713,2.32792E-06,-51.83533826,-5.082795353,-51.87128344,4.917140044
-51.23173112,1.00176752,2.55747E-06,-52.3734686,-5.084753433,-52.40985499,4.915180368
-51.75887771,1.012051355,2.78709E-06,-52.91174564,-5.086735673,-52.94857096,4.913196521
-52.28616443,1.022337144,3.01677E-06,-53.45016946,-5.088741964,-53.4874314,4.911188614
-52.81359137,1.03262483,3.24651E-06,-53.98874017,-5.090772194,-54.02643645,4.909156756
-53.34115859,1.042914351,3.47631E-06,-54.52745794,-5.092826253,-54.56558625,4.907101058
-53.86886619,1.053205643,3.70617E-06,-55.06632207,-5.094904099,-55.10488144,4.905021559
-54.39671432,1.063498645,3.9361E-06,-55.60533023,-5.097005898,-55.64432367,4.902918077
-54.92470304,1.073793295,4.1438E-06,-56.14448889,-5.099131298,-56.18390917,4.900791004
-55.45283233,1.084089538,4.13337E-06,-56.68379638,-5.101280007,-56.72363799,4.898640625
-55.98110208,1.094387369,4.07984E-06,-57.22325131,-5.103451874,-57.2635113,4.896467082
-56.50951248,1.104686785,4.02629E-06,-57.76285355,-5.105646751,-57.80352897,4.894270524
-57.03806278,1.114987798,3.97273E-06,-58.30260297,-5.107864492,-58.34369088,4.892051097
-57.56675317,1.125290433,3.91916E-06,-58.84249946,-5.110104947,-58.8839969,4.889808951
-58.09558354,1.135594703,3.86557E-06,-59.38254231,-5.112368,-59.42444692,4.8875442
-58.6245538,1.14590062,3.81197E-06,-59.92272991,-5.114653691,-59.96504238,4.885256791
-59.15366389,1.156208197,3.75835E-06,-60.46306425,-5.116961954,-60.50578294,4.882946802
-59.68291373,1.166517446,3.70471E-06,-61.00354821,-5.119292337,-61.04666433,4.880614713
-60.21230323,1.176828381,3.59179E-06,-61.54417884,-5.121644672,-61.5876893,4.87826067
