X,Y,Path_curvature,Xin,Yin,Xout,Yout
0.129937122,-0.592609019,1.51298E-05,5.037758496,1.236307202,-3.688933013,-3.646812222
0.109544565,-0.49960393,1.25457E-05,-3.796248234,-3.45502768,4.930443275,1.428091745
0.089151899,-0.406598347,9.96152E-06,-3.903563858,-3.263242416,4.823127651,1.619877009
0.068760565,-0.313598843,7.37755E-06,-4.010872354,-3.071469891,4.715819155,1.811649533
0.048371265,-0.220608608,4.79384E-06,-4.118169983,-2.879716787,4.608521526,2.003402638
0.027983411,-0.127624975,2.21031E-06,-4.225457537,-2.687981688,4.501233972,2.195137737
0.007595272,-0.034640038,-3.73251E-07,-4.151225338,-2.825578407,4.183517256,2.700004448
-0.278964967,-0.00020752,-1.49047E-06,-1.236019327,-4.915630273,0.59285916,4.915707554
-0.723593215,-0.000537994,-3.86606E-06,-0.77176405,-4.999946082,-0.771424635,5.000053912
-1.168361381,-0.000867787,-1.98327E-06,-1.220806079,-5.000031053,-1.222695572,4.999968769
-1.613298772,-0.001197624,1.80001E-05,-1.669836289,-5.000233466,-1.674340271,4.99976552
-2.058423917,-0.001531089,4.115E-05,-2.11957731,-5.00050774,-2.125674371,4.999490402
-2.503743838,-0.001872535,5.75387E-05,-2.570157542,-5.000797004,-2.576577297,4.999200936
-2.949256451,-0.002225823,5.86032E-05,-3.021236368,-5.001074042,-3.027378016,4.998924072
-3.394955212,-0.002590784,5.93033E-05,-3.472309981,-5.001356068,-3.4785623,4.998641977
-3.840833723,-0.0029675,5.95028E-05,-3.923428853,-5.001655433,-3.930064812,4.998342366
-4.286887933,-0.003356027,5.95359E-05,-4.374749819,-5.001970055,-4.381720895,4.998027515
-4.733116354,-0.003756627,5.86097E-05,-4.82629284,-5.002295877,-4.833508566,4.997701519
-5.179518844,-0.004169426,5.73646E-05,-5.278012199,-5.002632961,-5.285474398,4.997364255
-5.626095737,-0.004593658,5.65692E-05,-5.7299029,-5.002981886,-5.737624316,4.997015133
-6.072846931,-0.005029187,5.61158E-05,-6.181971013,-5.003342693,-6.189952208,4.996654122
-6.51977169,-0.005475938,5.59539E-05,-6.634220398,-5.003715013,-6.642452988,4.996281599
-6.966868928,-0.00593436,5.63348E-05,-7.086645417,-5.004098901,-7.095130508,4.995897499
-7.414137388,-0.006404347,5.6418E-05,-7.53924077,-5.004494803,-7.5479881,4.995501371
-7.861576361,-0.006885633,5.54813E-05,-7.992016047,-5.00490224,-8.001014656,4.995093712
-8.309185358,-0.007378064,5.43668E-05,-8.444967277,-5.005321009,-8.454212595,4.994674717
-8.756964074,-0.00788144,5.30054E-05,-8.898093784,-5.00575091,-8.907581189,4.994244589
-9.204912425,-0.008396096,5.16053E-05,-9.35139336,-5.006191898,-9.361121712,4.99380337
-9.653030054,-0.008921278,5.19994E-05,-9.804865497,-5.006643942,-9.814833972,4.993351089
-10.10131698,-0.00945698,5.34136E-05,-10.25851222,-5.007106832,-10.26871594,4.992887962
-10.54977321,-0.010003466,5.35526E-05,-10.71232913,-5.007580755,-10.72277214,4.992413792
-10.99839888,-0.0105608,5.18864E-05,-11.1663189,-5.008065679,-11.17700025,4.991928616
-11.44719371,-0.011129301,5.06075E-05,-11.62048199,-5.008561541,-11.63140009,4.991432499
-11.89615765,-0.011708091,5.04414E-05,-12.07481913,-5.009068215,-12.08597103,4.990925567
-12.34529074,-0.012297141,5.02774E-05,-12.52933298,-5.009585347,-12.54071066,4.99040818
-12.79459322,-0.012896425,4.95771E-05,-12.9840202,-5.010112887,-12.99562241,4.989880383
-13.24406576,-0.013505904,4.87742E-05,-13.43888089,-5.0106508,-13.45070674,4.989342208
-13.69370864,-0.014125911,4.90604E-05,-13.89391387,-5.011199202,-13.90596575,4.988793536
-14.14352266,-0.014755961,4.97077E-05,-14.34912149,-5.011758046,-14.36139815,4.988234418
-14.59350844,-0.015396153,4.75631E-05,-14.80450819,-5.012326958,-14.81700109,4.987665238
-15.04366665,-0.016046088,4.28381E-05,-15.26007135,-5.012905855,-15.27277861,4.987086071
-15.49399807,-0.016704962,4.4489E-05,-15.71581149,-5.013494684,-15.72873172,4.986496969
-15.94450295,-0.017373745,6.00911E-05,-16.17172717,-5.014093577,-16.18486318,4.985897795
-16.39518186,-0.018054914,6.0698E-05,-16.62782096,-5.014702493,-16.64117159,4.985288595
-16.84603551,-0.01874771,7.17132E-06,-17.08409849,-5.015320942,-17.09765267,4.984669872
-17.29706464,-0.019442422,-4.55575E-05,-17.54055707,-5.015948707,-17.55430999,4.984041835
-17.74826922,-0.02012956,-8.74183E-06,-17.99719466,-5.016585794,-18.01114631,4.983404474
-18.19964972,-0.020815169,5.25294E-05,-18.4540068,-5.017232658,-18.46816716,4.982757316
-18.65120656,-0.021511208,6.24193E-05,-18.91099779,-5.017889421,-18.92536923,4.982100252
-19.10294092,-0.022219804,4.38763E-05,-19.36817632,-5.018555462,-19.38274478,4.981433926
-19.55485337,-0.022937686,3.56523E-05,-19.82553998,-5.019230414,-19.84029739,4.980758697
