X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.830152029,-0.062476879,0.000132473,2.771483197,4.9893161,2.731706487,-5.01060479
2.374582833,-0.052371082,0.000112208,2.199696809,-5.008488614,2.239473519,4.991432276
1.919010907,-0.042265224,9.1943E-05,1.667700051,-5.006372489,1.707476762,4.993548401
1.463467195,-0.032159993,7.16793E-05,1.135753104,-5.004256562,1.175529814,4.995664328
1.007967593,-0.022055739,5.14175E-05,0.603863959,-5.002140866,0.643640669,4.997780025
0.552509607,-0.011952409,3.11576E-05,0.072908811,-5.00012331,0.110908626,4.99980449
0.097082157,-0.001849757,1.0899E-05,-0.442917517,-4.999838992,-0.436909587,5.000159203
-0.358507948,0.000186261,9.39018E-06,-0.970131334,-5.000010907,-0.973351762,4.999988575
-0.814128119,4.00342E-05,9.5849E-06,-1.502055894,-5.000182474,-1.505281292,4.999817006
-1.269783345,-0.000107926,-1.10613E-05,-2.034235333,-5.000350016,-2.037383553,4.999649489
-1.725557174,-0.000253685,-2.07958E-05,-2.566673174,-5.000515624,-2.569783554,4.999483892
-2.181514067,-0.000395618,-6.26618E-07,-3.099369964,-5.000685331,-3.102555766,4.999314162
-2.637681462,-0.00053761,1.94609E-05,-3.632351899,-5.000858052,-3.635592547,4.999141423
-3.09405956,-0.00068329,1.27014E-05,-4.165637448,-5.001027503,-4.168814949,4.998971992
-3.550635129,-0.000831575,-8.29125E-06,-4.699185808,-5.001190578,-4.70224221,4.998808955
-4.007393343,-0.00097836,-2.5345E-05,-5.23296144,-5.001347748,-5.235905941,4.998651818
-4.464324565,-0.001120127,-2.43789E-05,-5.766944818,-5.001502187,-5.769837012,4.998497395
-4.921425289,-0.001256866,-2.09997E-05,-6.301131711,-5.00166017,-6.304089162,4.998339393
-5.378695768,-0.001389605,-2.13343E-06,-6.835563307,-5.00182069,-6.838566864,4.998178859
-5.836137361,-0.001522001,2.01248E-05,-7.370274239,-5.001978862,-7.373232328,4.998020701
-6.293750828,-0.001658191,9.79245E-06,-7.905231979,-5.002133048,-7.908114179,4.997866537
-6.751535888,-0.001796498,-2.23949E-05,-8.440421236,-5.002283084,-8.443224661,4.997716523
-7.209491598,-0.001930365,-1.58361E-05,-8.975907113,-5.002423373,-8.978526938,4.997576284
-7.667616904,-0.002061562,3.29685E-05,-9.511691073,-5.002548056,-9.514018144,4.997451674
