X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.831719908,0.000485894,-3.74599E-05,2.765364104,5.000192265,2.766059323,-4.99980771
-2.377640875,-0.015780206,7.932E-08,-2.364543709,-5.000165915,-2.365241883,4.99983406
-1.923683784,-0.01276733,7.932E-08,-1.904294944,4.999866402,-1.903593316,-5.000133574
-1.469754981,-0.009754642,7.932E-08,-1.443376044,4.999898741,-1.442674416,-5.000101234
-1.015870391,-0.006742248,7.932E-08,-0.982502261,4.999931077,-0.981800632,-5.000068898
-0.562027478,-0.00373013,7.932E-08,-0.521670336,4.99996341,-0.520968707,-5.000036565
-0.108215087,-0.000718215,7.932E-08,-0.123604961,4.99999134,-0.122903335,-5.000008636
-0.345576819,-0.002293567,1.09646E-07,-0.39991256,-5.000028074,-0.40061427,4.999971902
-0.799358035,-0.005305299,2.53624E-07,-0.86068805,-5.000060419,-0.861390025,4.999939556
-1.253174519,-0.008317316,3.97614E-07,-1.321509858,-5.000092797,-1.322212472,4.999907178
-1.707110262,-0.011330209,5.41641E-07,-1.782462168,-5.000125231,-1.783165802,4.999874744
-2.161230284,-0.014344438,6.85726E-07,-2.243606599,-5.000157742,-2.244311593,4.999842234
-2.615562383,-0.017360215,8.29879E-07,-2.70496744,-5.000190345,-2.70567412,4.99980963
-3.07010687,-0.020377571,9.74099E-07,-3.166542683,-5.000223057,-3.167251385,4.999776918
-3.52485047,-0.023396448,1.11838E-06,-3.62831833,-5.000255892,-3.629029395,4.999744083
-3.979778278,-0.026416782,1.26272E-06,-4.090280024,-5.000288867,-4.090993829,4.999711107
-4.434880613,-0.029438542,1.40712E-06,-4.552419081,-5.000322002,-4.553136072,4.999677972
-4.89015402,-0.032461727,1.52885E-06,-5.014732888,-5.000355308,-5.015453296,4.999644666
-5.345598899,-0.035486361,1.35971E-06,-5.477222026,-5.000388798,-5.477946165,4.999611175
-5.80121672,-0.038512422,1.06084E-06,-5.939887787,-5.000422487,-5.94061592,4.999577487
-6.257007946,-0.041539856,7.61854E-07,-6.402730478,-5.000456384,-6.403462859,4.999543589
-6.712971625,-0.044568599,4.62755E-07,-6.86574927,-5.000490506,-6.86648622,4.999509466
-7.169106363,-0.047598573,1.63543E-07,-7.328943024,-5.000524866,-7.329684831,4.999475106
-7.625411036,-0.050629708,-1.35781E-07,-7.792310814,-5.00055947,-7.793057596,4.999440502
-8.08188492,-0.053661939,-4.35215E-07,-8.255851852,-5.000594328,-8.25660385,4.999405644
-8.538527587,-0.056695203,-7.3476E-07,-8.719565653,-5.000629452,-8.720323106,4.999370519
-8.995338754,-0.059729435,-1.03442E-06,-9.183451865,-5.000664855,-9.184215051,4.999335115
-9.452318229,-0.06276456,-1.33418E-06,-9.647510218,-5.000700554,-9.648279486,4.999299416
-9.909465838,-0.065800524,-1.61429E-06,-10.11174059,-5.000736559,-10.11251619,4.999263411
-10.36678149,-0.068837273,-1.66093E-06,-10.57614294,-5.000772877,-10.57692496,4.999227093
-10.82426511,-0.071874793,-1.62038E-06,-11.04071694,-5.000809515,-11.04150559,4.999190454
-11.28191637,-0.074913089,-1.57982E-06,-11.50546197,-5.000846485,-11.50625745,4.999153484
-11.73973465,-0.077952162,-1.53925E-06,-11.97037723,-5.000883796,-11.97117978,4.999116171
-12.19771969,-0.080992009,-1.49866E-06,-12.43546229,-5.000921466,-12.43627224,4.999078501
-12.65587157,-0.084032652,-1.45805E-06,-12.90071743,-5.000959502,-12.90153496,4.999040465
-13.11419069,-0.087074102,-1.41744E-06,-13.36614325,-5.000997908,-13.36696843,4.999002058
-13.57267766,-0.09011637,-1.3768E-06,-13.8317404,-5.001036693,-13.83257342,4.998963272
-14.03133311,-0.093159468,-1.33615E-06,-14.29750962,-5.001075867,-14.29835069,4.998924098
-14.49015766,-0.096203406,-1.29549E-06,-14.76345165,-5.00111544,-14.76430097,4.998884524
-14.94915202,-0.09924819,-1.2281E-06,-15.22956711,-5.001155432,-15.23042508,4.998844531
-15.40831682,-0.102293853,-8.84793E-07,-15.69585678,-5.001195851,-15.69672362,4.998804111
-15.86765269,-0.105340468,-4.73635E-07,-16.16232129,-5.001236702,-16.16319704,4.99876326
-16.32715999,-0.10838812,-6.2324E-08,-16.62896078,-5.001277995,-16.62984568,4.998721966
-16.78683881,-0.111436895,3.49141E-07,-17.09577541,-5.001319742,-17.0966697,4.998680218
-17.24668934,-0.11448688,7.6076E-07,-17.56276558,-5.001361954,-17.5636695,4.998638005
-17.70671208,-0.117538174,1.17253E-06,-18.02993188,-5.001404651,-18.03084585,4.998595307
-18.16690776,-0.120590864,1.58446E-06,-18.49727521,-5.001447848,-18.49819951,4.998552109
-18.6272772,-0.123645042,1.99654E-06,-18.96479652,-5.001491548,-18.96573123,4.998508409
-19.08782121,-0.126700798,2.40878E-06,-19.43249655,-5.00153576,-19.43344186,4.998464195
-19.54854048,-0.129758224,2.82118E-06,-19.90037594,-5.001580496,-19.90133209,4.998419458
-20.00943562,-0.132817408,3.18431E-06,-20.36843522,-5.001625768,-20.36940245,4.998374185
-20.47050716,-0.135878451,3.17839E-06,-20.83667458,-5.00167159,-20.83765316,4.998328362
-20.93175498,-0.138941342,3.13244E-06,-21.30509367,-5.001717985,-21.30608414,4.998281966
-21.39317882,-0.142006064,3.08648E-06,-21.77369243,-5.00176496,-21.77469487,4.99823499
-21.8547784,-0.145072607,3.0405E-06,-22.24247075,-5.001812518,-22.24348527,4.998187431
-22.31655373,-0.148140961,2.9945E-06,-22.71142877,-5.001860672,-22.7124556,4.998139275
-22.77850507,-0.151211119,2.94849E-06,-23.18056683,-5.001909434,-23.18160621,4.998090512
-23.24063286,-0.154283082,2.90246E-06,-23.64988534,-5.001958815,-23.65093753,4.99804113
-23.70293733,-0.157356857,2.85641E-06,-24.1193846,-5.002008834,-24.12044998,4.997991109
-24.16541892,-0.160432415,2.81034E-06,-24.58906487,-5.002059513,-24.59014388,4.997940428
-24.62807791,-0.163509751,2.76425E-06,-25.05892662,-5.002110853,-25.06001928,4.997889087
-25.09091451,-0.166588857,2.74967E-06,-25.52896995,-5.002162862,-25.53007641,4.997837077
-25.55392887,-0.169669732,2.82058E-06,-25.99919472,-5.002215552,-26.00031524,4.997784385
-26.01712081,-0.17275239,2.89866E-06,-26.46960051,-5.002268935,-26.47073534,4.997731
-26.48048995,-0.175836859,2.97676E-06,-26.9401869,-5.002323024,-26.94133629,4.99767691
-26.94403572,-0.178923152,3.05489E-06,-27.41095364,-5.002377839,-27.41211801,4.997622094
-27.40775811,-0.182011275,3.13305E-06,-27.88190078,-5.002433402,-27.88308059,4.997566529
-27.87165723,-0.185101245,3.21124E-06,-28.35302877,-5.002489712,-28.35422399,4.997510217
-28.33573331,-0.188193081,3.28947E-06,-28.82433775,-5.002546778,-28.82554855,4.997453149
-28.79998659,-0.191286802,3.36772E-06,-29.29582787,-5.002604612,-29.2970545,4.997395313
-29.26441725,-0.194382427,3.446E-06,-29.76749926,-5.002663228,-29.76874198,4.997336695
-29.72902554,-0.197479992,3.52431E-06,-30.23935201,-5.002722638,-30.24061108,4.997277283
-30.19381133,-0.200579511,3.58596E-06,-30.71138615,-5.002782855,-30.71266184,4.997217064
-30.65877474,-0.203680986,3.62689E-06,-31.18360115,-5.002843916,-31.18489423,4.997156
-31.12391533,-0.206784422,3.66707E-06,-31.65599697,-5.002905809,-31.65730715,4.997094105
-31.5892322,-0.209889824,3.70727E-06,-32.12857285,-5.002968542,-32.12990033,4.99703137
-32.0547246,-0.212997196,3.74748E-06,-32.60132857,-5.003032128,-32.60267356,4.996967782
-32.52039222,-0.216106546,3.78771E-06,-33.07426413,-5.003096577,-33.07562688,4.99690333
-32.98623521,-0.219217896,3.82796E-06,-33.54737971,-5.003161902,-33.54876044,4.996838003
-33.45225358,-0.222331265,3.86822E-06,-34.02067747,-5.003228124,-34.02207664,4.996771778
-33.91844766,-0.225446644,3.90849E-06,-34.49415557,-5.003295263,-34.49557356,4.996704637
-34.38481763,-0.228564044,3.94878E-06,-34.96781408,-5.003363328,-34.96925108,4.996636569
-34.8513636,-0.231683476,3.98961E-06,-35.44165319,-5.003432316,-35.44310913,4.996567578
-35.31808563,-0.234804949,4.03928E-06,-35.91567268,-5.00350224,-35.91714781,4.996497652
-35.78498372,-0.237928475,4.09412E-06,-36.38987203,-5.003573112,-36.39136661,4.996426776
-36.25205756,-0.241054066,4.14897E-06,-36.86425031,-5.003644947,-36.8657646,4.996354938
-36.71930667,-0.244181762,4.20385E-06,-37.3388068,-5.003717756,-37.34034105,4.996282126
-37.18673035,-0.247311544,4.25874E-06,-37.81354118,-5.003791555,-37.81509572,4.996208324
-37.65432853,-0.25044342,4.31366E-06,-38.28845334,-5.003866377,-38.29002882,4.996133499
-38.12210125,-0.253577405,4.36859E-06,-38.76354382,-5.003942224,-38.7651403,4.996057649
-38.59004869,-0.256713513,4.42355E-06,-39.23881286,-5.004019099,-39.24043037,4.99598077
-39.05817103,-0.259851758,4.47853E-06,-39.71426054,-5.004097016,-39.71589935,4.99590285
-39.52646843,-0.262992153,4.53352E-06,-40.18988698,-5.004175987,-40.19154734,4.995823875
-39.9949411,-0.266134718,4.58666E-06,-40.66569218,-5.004256024,-40.66737431,4.995743835
-40.4635889,-0.269279492,4.62211E-06,-41.14167582,-5.004337136,-41.14337991,4.995662719
-40.93241197,-0.272426454,4.65546E-06,-41.61783732,-5.004419334,-41.61956359,4.995580517
-41.40141005,-0.275575609,4.68883E-06,-42.09417616,-5.004502642,-42.09592507,4.995497205
-41.87058256,-0.278726964,4.7222E-06,-42.57069237,-5.004587068,-42.5724641,4.995412775
-42.33992908,-0.281880523,4.75559E-06,-43.04738623,-5.004672605,-43.04918061,4.995327234
-42.80944944,-0.285036294,4.789E-06,-43.52425776,-5.004759262,-43.52607496,4.995240573
-43.27914372,-0.288194285,4.82241E-06,-44.00130718,-5.004847048,-44.00314737,4.995152783
-43.74901222,-0.291354508,4.85584E-06,-44.47853466,-5.004935972,-44.48039801,4.995063855
-44.21905494,-0.294517008,4.88927E-06,-44.95594033,-5.005026043,-44.95782702,4.994973779
-44.68927217,-0.297681758,4.92273E-06,-45.43352427,-5.005117272,-45.43543448,4.994882546
-45.15966404,-0.300848769,4.96106E-06,-45.91128634,-5.005209677,-45.91322046,4.994790136
-45.63023059,-0.30401805,5.00723E-06,-46.38922614,-5.005303284,-46.39118468,4.994696525
-46.10097143,-0.30718961,5.05384E-06,-46.86734345,-5.005398089,-46.86932633,4.994601715
-46.57188571,-0.310363454,5.10047E-06,-47.34563786,-5.005494098,-47.3476452,4.9945057
-47.04297276,-0.313539591,5.14711E-06,-47.82410925,-5.005591325,-47.82614127,4.994408469
-47.51423229,-0.316718029,5.19377E-06,-48.30275776,-5.00568978,-48.3048147,4.994310009
-47.9856645,-0.319898799,5.24045E-06,-48.78158361,-5.005789476,-48.78366571,4.994210307
-48.45726945,-0.323081915,5.28714E-06,-49.26058702,-5.005890425,-49.26269451,4.994109353
-48.92904751,-0.326267373,5.33386E-06,-49.73976816,-5.00599264,-49.74190127,4.994007132
-49.40099893,-0.329455185,5.38059E-06,-50.21912704,-5.006096142,-50.22128622,4.993903625
-49.87312387,-0.332645363,5.42669E-06,-50.69866355,-5.006200951,-50.70084918,4.99379881
-50.34542245,-0.335837922,5.4632E-06,-51.1783773,-5.006307066,-51.18058934,4.99369269
-50.81789471,-0.339032869,5.49509E-06,-51.65826749,-5.006414486,-51.66050592,4.993585263
-51.29054044,-0.342230213,5.527E-06,-52.13833354,-5.006523221,-52.14059853,4.993476523
-51.76335911,-0.345429958,5.55891E-06,-52.61857535,-5.006633279,-52.62086707,4.993366459
-52.23635039,-0.348632127,5.59084E-06,-53.09899311,-5.006744669,-53.10131172,4.993255062
-52.70951399,-0.351836732,5.62277E-06,-53.57958709,-5.006857399,-53.58193274,4.993142325
-53.1828501,-0.35504376,5.65472E-06,-54.06035754,-5.00697148,-54.06273041,4.993028239
-53.65635891,-0.358253222,5.68668E-06,-54.54130467,-5.007086919,-54.54370491,4.992912793
-54.13004065,-0.361465128,5.71865E-06,-55.02242844,-5.007203743,-55.02485658,4.992795963
-54.6038955,-0.364679488,5.75064E-06,-55.5037291,-5.007321961,-55.50618532,4.992677738
-55.07792361,-0.367896311,5.78593E-06,-55.98520666,-5.007441571,-55.98769089,4.992558121
-55.55212506,-0.371115608,5.83169E-06,-56.46686057,-5.007562583,-56.46937301,4.992437101
-56.02649962,-0.374337388,5.87835E-06,-56.94869035,-5.007685011,-56.95123124,4.992314666
-56.50104678,-0.37756166,5.92503E-06,-57.43069573,-5.007808867,-57.43326532,4.992190803
-56.97576619,-0.380788468,5.97172E-06,-57.91287672,-5.007934164,-57.91547527,4.992065499
-57.45065758,-0.384017791,6.01843E-06,-58.39523348,-5.008060915,-58.39786124,4.991938739
-57.92572111,-0.387249639,6.06516E-06,-58.87776623,-5.008189134,-58.88042343,4.991810513
-58.40095698,-0.390484026,6.11191E-06,-59.36047514,-5.008318833,-59.36316205,4.991680806
-58.87636537,-0.393720964,6.15867E-06,-59.84336027,-5.008450037,-59.84607735,4.991549593
-59.35194648,-0.396960468,6.20545E-06,-60.32642175,-5.008582767,-60.32916943,4.991416855
-59.82770043,-0.400202549,6.25193E-06,-60.8096599,-5.00871702,-60.81243809,4.991282594
-60.30362731,-0.403447221,6.29158E-06,-61.29307466,-5.008852798,-61.29588338,4.991146807
-60.77972713,-0.406694495,6.32669E-06,-61.7766659,-5.00899011,-61.77950531,4.991009487
-61.25599981,-0.409944378,6.3618E-06,-62.2604335,-5.009128962,-62.26330373,4.990870626
-61.73244526,-0.413196907,6.39694E-06,-62.74437731,-5.009269365,-62.74727852,4.990730215
-62.20906328,-0.416452075,6.43208E-06,-63.22849721,-5.009411325,-63.23142954,4.990588245
-62.68585377,-0.41970988,6.46724E-06,-63.71279306,-5.009554851,-63.71575667,4.99044471
-63.16281662,-0.42297033,6.50241E-06,-64.19726478,-5.009699951,-64.20025979,4.990299601
-63.63995172,-0.426233434,6.53759E-06,-64.68191224,-5.009846634,-64.68493883,4.990152908
-64.11725899,-0.429499202,6.57279E-06,-65.16673533,-5.00999491,-65.1697937,4.990004622
-64.59473834,-0.432767642,6.608E-06,-65.65173371,-5.010144816,-65.65482456,4.989854706
-65.07238968,-0.436038763,6.64196E-06,-66.1369077,-5.010296344,-66.14003086,4.989703168
-65.55021291,-0.439312575,6.67167E-06,-66.62225703,-5.010449504,-66.6254127,4.989549998
-66.02820794,-0.442589084,6.70104E-06,-67.10778153,-5.010604312,-67.11097001,4.989395179
-66.50637468,-0.4458683,6.73041E-06,-67.5934811,-5.010760784,-67.59670267,4.989238697
-66.98471302,-0.449150252,6.75979E-06,-68.07935539,-5.010918934,-68.08261035,4.989080536
-67.46322288,-0.452434938,6.78919E-06,-68.56540391,-5.011078779,-68.56869256,4.98892068
-67.94190416,-0.455722354,6.81859E-06,-69.05162626,-5.011240333,-69.0549489,4.988759115
-68.42075676,-0.459012506,6.84801E-06,-69.53802233,-5.011403613,-69.54137926,4.988595824
-68.89978059,-0.462305403,6.87743E-06,-70.02459222,-5.011568634,-70.02798373,4.988430791
-69.37897555,-0.465601053,6.90687E-06,-70.5113361,-5.01173541,-70.51476246,4.988264003
-69.85834155,-0.468899463,6.94015E-06,-70.99825391,-5.01190395,-71.00171529,4.988095451
-70.3378785,-0.472200643,7.03771E-06,-71.48534503,-5.012074285,-71.48884202,4.987925103
-70.8175863,-0.475504616,7.16923E-06,-71.97261115,-5.012246433,-71.97614408,4.987752943
-71.29746486,-0.478811412,7.30081E-06,-72.46005077,-5.012420372,-72.46361918,4.987578991
-71.77751408,-0.482121064,7.43243E-06,-72.94766349,-5.012596107,-72.95126748,4.987403243
-72.25773387,-0.485433602,7.5641E-06,-73.43544944,-5.012773647,-73.43908915,4.98722569
-72.7381241,-0.488749077,7.69581E-06,-73.92340883,-5.012953,-73.9270844,4.987046325
-73.21868475,-0.492067521,7.82758E-06,-74.4115418,-5.013134174,-74.41525337,4.986865138
-73.69941569,-0.495388947,7.95939E-06,-74.89984845,-5.013317177,-74.90359616,4.986682121
-74.18031682,-0.498713387,8.09124E-06,-75.38832877,-5.013502018,-75.39211277,4.986497267
-74.66138806,-0.502040872,8.22314E-06,-75.87698262,-5.013688708,-75.88080313,4.986310562
-75.14262931,-0.505371434,8.19381E-06,-76.36580966,-5.013877261,-76.3696669,4.986121995
-75.62404048,-0.508705062,7.86094E-06,-76.85480945,-5.014067689,-76.85870369,4.985931553
-76.10562145,-0.512041686,7.50999E-06,-77.34398173,-5.014260006,-77.3479132,4.985739221
-76.58737212,-0.515381226,7.15891E-06,-77.83332642,-5.014454227,-77.83729544,4.985544985
-77.06929224,-0.518723602,6.80771E-06,-78.32284352,-5.014650383,-78.32685064,4.985348814
-77.55138142,-0.52206873,6.45638E-06,-78.81253339,-5.014848478,-78.8165787,4.985150704
-78.03363943,-0.525416531,6.10493E-06,-79.30239615,-5.015048514,-79.30647966,4.984950652
-78.51606622,-0.528766923,5.75336E-06,-79.79243164,-5.015250505,-79.79655361,4.984748645
-78.9986619,-0.532119828,5.40167E-06,-80.28263977,-5.015454465,-80.28680044,4.98454467
-79.48142656,-0.535475186,5.04985E-06,-80.77302039,-5.015660404,-80.77721998,4.984338714
-79.96436038,-0.538832896,4.73165E-06,-81.26357325,-5.015868335,-81.26781195,4.984130767
-80.44746328,-0.542192891,4.7729E-06,-81.7542981,-5.016078267,-81.7585761,4.983920818
-80.93073518,-0.545555175,4.88163E-06,-82.24519481,-5.016290212,-82.24951232,4.983708856
-81.41417591,-0.548919774,4.9904E-06,-82.73626339,-5.01650418,-82.74062059,4.98349487
-81.89778508,-0.552286711,5.0992E-06,-83.22750385,-5.016720184,-83.23190095,4.98327885
-82.38156213,-0.555656008,5.20804E-06,-83.7189162,-5.016938233,-83.72335339,4.983060783
-82.86550664,-0.55902769,5.31692E-06,-84.21050036,-5.017158338,-84.21497783,4.982840659
-83.34961851,-0.562401783,5.42584E-06,-84.70225624,-5.017380511,-84.7067742,4.982618468
-83.83389786,-0.565778314,5.5348E-06,-85.19418372,-5.017604764,-85.19874235,4.982394197
-84.31834488,-0.569157311,5.64379E-06,-85.68628254,-5.017831109,-85.69088214,4.982167833
-84.80295979,-0.572538803,5.75376E-06,-86.17855224,-5.018059573,-86.18319327,4.98193935
-85.28774271,-0.575922819,5.8921E-06,-86.67099251,-5.018290171,-86.67567527,4.981708733
-85.77269366,-0.579309391,6.05207E-06,-87.16360329,-5.018522903,-87.16832776,4.981475981
-86.25781237,-0.582698558,6.21209E-06,-87.65638445,-5.018757785,-87.66115089,4.98124108
-86.74309826,-0.586090361,6.37217E-06,-88.14933611,-5.018994829,-88.15414479,4.981004014
-87.22855118,-0.589484847,6.5323E-06,-88.64245844,-5.019234053,-88.64730964,4.980764771
-87.71417092,-0.592882039,6.69249E-06,-89.13575154,-5.019475469,-89.14064551,4.980523333
-88.19995755,-0.596281977,6.85274E-06,-89.62921539,-5.019719094,-89.63415242,4.980279688
-88.68591124,-0.599684702,7.01303E-06,-90.12284991,-5.019964941,-90.12783025,4.980033819
-89.17203214,-0.603090253,7.17339E-06,-90.61665497,-5.020213022,-90.62167885,4.979785716
-89.65832031,-0.60649867,7.3338E-06,-91.11063042,-5.020463349,-91.11569801,4.979535367
-90.14477569,-0.609909992,7.27835E-06,-91.60477602,-5.020715929,-91.60988747,4.979282765
-90.63139815,-0.613324201,6.81639E-06,-92.09909158,-5.020970771,-92.10424704,4.9790279
-91.1181874,-0.616741193,6.331E-06,-92.59357703,-5.021227884,-92.59877664,4.978770764
-91.60514312,-0.620160854,5.84544E-06,-93.08823237,-5.021487277,-93.09347629,4.978511348
-92.09226508,-0.623583069,5.35972E-06,-93.5830576,-5.02174896,-93.58834597,4.978249642
-92.57955327,-0.627007723,4.87383E-06,-94.07805267,-5.02201294,-94.08338565,4.977985638
-93.06700774,-0.630434704,4.38777E-06,-94.5732175,-5.022279226,-94.57859524,4.977719328
-93.55462857,-0.633863898,3.90155E-06,-95.06855198,-5.022547829,-95.07397463,4.977450701
-94.04241573,-0.63729519,3.41516E-06,-95.56405599,-5.022818758,-95.56952374,4.977179747
-94.53036915,-0.640728465,2.92861E-06,-96.05972925,-5.023092038,-96.06524256,4.976906442
-95.01848873,-0.644163608,2.56682E-06,-96.55557171,-5.023367685,-96.56113088,4.976630769
-95.50677435,-0.647600549,3.04839E-06,-97.05158337,-5.023645706,-97.0571885,4.976352723
-95.99522559,-0.651039385,3.61427E-06,-97.54776408,-5.023926114,-97.55341539,4.976072289
-96.48384213,-0.654480255,4.18034E-06,-98.04411373,-5.024208923,-98.04981151,4.975789454
-96.97262356,-0.657923285,4.7466E-06,-98.54063224,-5.024494149,-98.54637676,4.975504201
-97.4615698,-0.661368612,5.31306E-06,-99.03731952,-5.024781808,-99.04311106,4.975216515
-97.95068094,-0.664816372,5.8797E-06,-99.53417546,-5.025071915,-99.54001431,4.974926381
-98.43995716,-0.668266703,6.44654E-06,-100.0312,-5.025364485,-100.0370864,4.974633782
-98.92939862,-0.671719744,7.01356E-06,-100.5283929,-5.025659533,-100.5343272,4.974338706
-99.41900539,-0.675175632,7.58078E-06,-101.0257542,-5.025957072,-101.0317365,4.974041139
-99.90877745,-0.678634504,8.11389E-06,-101.5232834,-5.026257113,-101.529314,4.973741069
-100.3987147,-0.682096481,8.19447E-06,-102.0209804,-5.026559668,-102.0270595,4.973438484
-100.8888169,-0.68556159,8.12225E-06,-102.518845,-5.02686475,-102.5249728,4.973133372
-101.3790839,-0.689029814,8.05E-06,-103.0168774,-5.027172371,-103.0230541,4.972825721
-101.8695153,-0.692501138,7.97773E-06,-103.5150776,-5.027482543,-103.5213035,4.972515519
-102.360111,-0.695975543,7.90544E-06,-104.0134457,-5.027795278,-104.0197209,4.972202753
-102.850871,-0.699453015,7.83312E-06,-104.5119815,-5.028110588,-104.5183063,4.971887412
-103.3417953,-0.702933538,7.76078E-06,-105.010685,-5.028428485,-105.0170595,4.971569483
-103.8328839,-0.706417098,7.68841E-06,-105.5095561,-5.028748982,-105.5159805,4.971248954
-104.3241368,-0.709903677,7.61602E-06,-106.0085945,-5.02907209,-106.0150691,4.970925814
-104.815554,-0.713393261,7.54435E-06,-106.5078001,-5.029397819,-106.5143251,4.970600052
-105.3071352,-0.716885832,7.49166E-06,-107.0071728,-5.029726181,-107.0137482,4.970271658
-105.7988804,-0.72038138,7.45196E-06,-107.5067124,-5.030057186,-107.5133386,4.969940619
-106.2907894,-0.723879895,7.41224E-06,-108.006419,-5.030390846,-108.0130961,4.969606924
-106.7828621,-0.727381368,7.3725E-06,-108.5062926,-5.030727173,-108.5130208,4.969270564
-107.2750984,-0.730885791,7.33276E-06,-109.006333,-5.031066176,-109.0131125,4.968931525
-107.7674981,-0.734393156,7.293E-06,-109.5065401,-5.031407869,-109.5133711,4.968589798
-108.2600613,-0.737903454,7.25322E-06,-110.0069139,-5.03175226,-110.0137966,4.968245371
-108.7527879,-0.741416677,7.21344E-06,-110.5074542,-5.032099363,-110.5143888,4.967898232
-109.2456776,-0.744932818,7.17364E-06,-111.0081624,-5.032449223,-111.0151497,4.967548336
-109.7387307,-0.748451877,7.13382E-06,-111.5090374,-5.032801833,-111.5160773,4.967195689
